title,authors,year,venue,doi,abstract,keywords,cited_by,sources,in_slr,cutoff_flag,merge_uncertain,n_merged,relevance,reason,theme,perf,perf_dataset
Transforming Remote Practical Learning Through AI and Embedded Systems: Redefining the Role of Educators,El Gourari A.; Ezzini M.; Ennejjar M.; Mouachi R.; Raoufi M.; Skouri M.,2026,Lecture Notes in Networks and Systems,10.1007/978-3-032-18857-1_23,"The integration of artificial intelligence (AI) and embedded systems into e-learning has transformed remote education by bridging theoretical knowledge with practical experiences through real-time experimental setups. While AI-driven platforms enhance accessibility, automate assessments, and personalize learning pathways, this study investigates whether AI redefines or replaces educators. Through empirical analysis including a 35% increase in student engagement with AI tools, a 40% reduction in time educators spend on administrative tasks, and a 25% improvement in performance among AI-supported cohorts this research demonstrates that AI enhances educational efficiency but cannot substitute for the human role in fostering critical thinking, creativity, and motivation. As educators transition from traditional content delivery to mentoring and adaptive pedagogy, embedded systems enable scalable, hands-on learning experiences. We propose a collaborative framework where AI handles repetitive tasks such as grading and analytics, allowing teachers to focus on personalized instruction and student development. This synergy between technology and human expertise ensures equitable, engaging, and outcomes-driven digital education. Institutions are urged to prioritize human-AI collaboration, positioning AI as a tool to amplify rather than overshadow educators’ irreplaceable contributions. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",AI in Education; AI-Enhanced Remote Practical Learning; Embedded Systems for Remote Laboratories; Human-AI Collaboration in Education; Intelligent Adaptive Learning Systems; Online and Distance Learning; Artificial intelligence; Computer aided instruction; E-learning; Education computing; Engineering education; Learning systems; Real time systems; Students; Teaching; Adaptive learning systems; Artificial intelligence in education; Artificial intelligence-enhanced remote practical learning; Distance-learning; Embedded system for remote laboratory; Embedded-system; Human-artificial intelligence collaboration in education; Intelligent adaptive learning system; Online learning; Remote laboratories; Embedded systems,0.0,scopus,False,post_cutoff,False,1,med,grading+edu in abstract; grading not central / no benchmark,grading,,
Artificial Intelligence: An Educational Frontier,Mira M.S.,2026,Artificial Intelligence and the Metaverse in Education,10.1002/9781394335640.ch1,"The path to prosperity, together with personal advancement, starts through education. AI introduction modernizes the educational framework and instructional methods to assist teachers and students. The educational landscape transforms with AI because it implements fresh methods to establish learning objectives as well as modern teaching techniques for different subjects. Teaching hours become more productive because AI-based tools operate grading processes automatically. The majority of AI student tools offer dual advantages for core subjects and deliver worthwhile feedback to students and teachers simultaneously. Personalized learning gains momentum through AI-powered apps that allow students to pursue subjects that match their interests and preferences. Through AI-enabled visual representations, schools achieve better data understanding, which results in permanent improvements to student learning attitudes. Through AI technology, educational institutions can distribute information by utilizing simulated models as well as virtual educational spaces, together with visual representation methods. AI maintains accurate content that educators can modify, which helps in building effective instructional materials. AI-powered language translation platforms expand educational resources by granting students access to materials through their preferred language while eliminating language barriers. Educational institutions benefit from AI utilities in every department because institutions continue to implement AI systems at a fast pace. © 2026 Scrivener Publishing LLC.",AI; edtech; education; education; innovation; E-learning; Education computing; Engineering education; Grading; Students; Teaching; Virtual reality; Edtech; Educational institutions; Feedback to students; Grading process; Innovation; Instructional methods; Learning objectives; Teachers'; Teaching techniques; Visual representations; Artificial intelligence,0.0,scopus,False,post_cutoff,False,1,med,grading+edu in abstract; grading not central / no benchmark,grading,,
"Enhancing Digital Pedagogy and Creativity: Generative AI, Video Avatars, and Personalized Learning in Online Education",Lively J.; Hutson J.,2025,Springer Series on Cultural Computing,10.1007/978-3-031-86551-0_6,"This chapter explores the transformative potential of generative artificial intelligence (AI) in online education, particularly within learning management systems (LMS). By leveraging AI to create dynamic instructional content—including videos, images, and texts—this chapter highlights how these tools can enhance creativity and engagement in digital learning environments. A focal point is the innovative use of video avatars, which utilize generative AI to produce interactive and personalized teaching personas. These avatars offer a scalable and individualized alternative to conventional pedagogical methods. Additionally, the chapter examines AI's role in designing assignments, rubrics, and interactive simulations aimed at improving student engagement and learning outcomes. AI-assisted grading is presented to reduce instructor workload while providing personalized feedback. The ability of AI to autonomously analyse course objectives and suggest relevant assignments and evaluation metrics is also investigated. The integration of generative AI technologies, particularly video avatars, presents a significant opportunity to revolutionize the delivery and effectiveness of online education. This chapter posits that such advancements not only create a more engaging learning environment but also substantially elevate the quality of instruction and educational outcomes. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",AI-assisted grading; Digital pedagogy; Generative AI; Personalized learning; Video avatars,3.0,scopus,True,overlap_2025,False,1,med,grading+edu in abstract; grading not central / no benchmark [in SLR],grading,,
Intelligent scoring method for English articles leveraging large language models,Yan J.,2026,International Journal of Information and Communication Technology,10.1504/ijict.2026.152225,"Traditional manual scoring of English essays faces subjectivity and low efficiency, while existing automated essay scoring (AES) systems suffer from limited genre adaptability, weak scoring-feedback linkage, and poor robustness. To address these challenges, this study proposes a BERT and Zhipu AI model-based automatic scoring algorithm for different English genre essays (BERT-AI-ASEG), integrating ‘overall scoring feature scoring feedback output’. Furthermore, an English article intelligent scoring algorithm integrating multiple large language models (EAIS-IMLLM) is developed to enhance robustness. Experiments on the ASAP++ dataset show that the Spearman’s rank correlation coefficient and quadratic weighted kappa reach 0.87 and 0.85, improving by 4.82% and 6.25% over comparison algorithms. The proposed algorithm also achieves an evaluative feedback correlation of 0.89 and a multi-genre adaptation index of 0.91 at 150 iterations. These results indicate that the method is effective in improving accuracy, reliability, and teaching feedback effect for large-scale English writing assessments. Copyright © The Author(s) 2026.",article genre; BERT; English articles; large language model; scoring; Zhipu AI; Artificial intelligence; Automatic identification; Computational linguistics; Feedback; Article genres; Automated essay scoring; BERT; English article; Language model; Large language model; Scoring; Scoring algorithms; Scoring methods; Zhipu AI; Copyrights,0.0,scopus,False,post_cutoff,False,1,exclude,no education/assessment context,consistency,QUADRATIC WEIGHTED KAPPA=0.87,ASAP
Enhancing Automated Grading in Science Education through LLM-Driven Causal Reasoning and Multimodal Analysis,Zhu H.; Li T.; He P.; Zhou J.,2025,IJCAI International Joint Conference on Artificial Intelligence,10.24963/ijcai.2025/1150,"Automated assessment of open responses in K-12 science education poses significant challenges due to the multimodal nature of student work, which often integrates textual explanations, drawings, and handwritten elements. Traditional evaluation methods that focus solely on textual analysis fail to capture the full breadth of student reasoning and are susceptible to biases such as handwriting neatness or answer length. In this paper, we propose a novel LLM-augmented multimodal evaluation framework that addresses these limitations through a comprehensive, bias-corrected grading system. Our approach leverages LLMs to generate causal knowledge graphs that encapsulate the essential conceptual relationships in student responses, comparing these graphs with those derived automatically from the rubrics and submissions. Experimental results demonstrate that our framework improves grading accuracy and consistency over deep supervised learning and few-shot LLM baselines. © 2025 International Joint Conferences on Artificial Intelligence. All rights reserved.",Deep learning; Engineering education; Knowledge management; Students; Automated assessment; Automated grading; Causal reasoning; Evaluation framework; Evaluation methods; Multi-modal; Multimodal analysis; Science education; Student reasoning; Textual-analysis; Grading,1.0,scopus,False,overlap_2025,False,1,high,grading-focused (title) + edu,reasoning,,
Cutting—Edge Soft Computing Technologies for Rock Mass Excavatability: Transforming Prediction with Hybrid GA—MLP and GEP—Based Criteria,Huang S.; Zhou J.,2025,Rock Mechanics and Rock Engineering,10.1007/s00603-025-04760-w,"Accurately delineating rock mass excavatability is a prerequisite for optimizing geotechnical engineering construction strategies. The classic excavatability chart, while offering intuitive engineering guidance, is founded on empirical statistical adjustments that remain vulnerable to subjective bias. More importantly, the limited interpretability inherent in traditional methodologies poses challenges in rapidly updating the graphic’s classification scheme, underscoring the need for advanced predictive techniques. In contrast to classical statistical fitting approaches, soft computing techniques, unconstrained by rigid priori assumptions, excel at uncovering nonlinear patterns in coupled geological datasets. Exploiting this advantage, this study systematically evaluates the feasibility and reliability of machine learning techniques for rock mass excavatability prediction based on an expanded database comprising 214 samples. Ten classifiers are rigorously evaluated to avoid narrow perspectives in model selection, among which the multilayer perceptron (MLP) achieved superior performance, and its accuracy is further enhanced to 88.89% through global hyperparameter optimization via the genetic algorithm (GA‑MLP). To enhance decision transparency, SHapley Additive exPlanations (SHAP) were employed to reveal the nonlinear coupling between rock strength and structural spacing that governs excavatability decisions. After data‑driven remapping of the feature plane with GA‑MLP, the misclassification rate drops from 12 to 8%, and statistical analysis confirmed that the updated boundaries better align with the sample distribution. In addition, gene expression programming (GEP) generated explicit probabilistic discriminants, recasting the target problem into a soft classification framework to resolve threshold ambiguities in hard classification. By introducing a fuzzy margin parameter, a more conservative five-level soft classification scheme was proposed that provides engineers with enhanced decision flexibility. Finally, the modeling outcomes were encapsulated in a graphical user interface that facilitates automatic excavatability grading, thereby furnishing practitioners with an intuitive and interpretable tool for continuously updating the excavatability chart in response to newly acquired site data. © The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature 2025.",Gene expression programming; Graphical user interface; Machine learning; Multilayer perceptron; Rock mass excavatability; Classification (of information); Data mining; Excavation; Genetic algorithms; Genetic programming; Global optimization; Grading; Learning algorithms; Learning systems; Machine learning; Multilayers; Rock mechanics; Rocks; Soft computing; Statistical methods; Classification scheme; Computing technology; Cutting edges; Gene-expression programming; Machine-learning; Multilayers perceptrons; Rock mass excavatability; Rock-mass; Soft classification; Soft-Computing; excavation; genetic algorithm; geotechnical engineering; machine learning; rock mechanics; statistical analysis; threshold; Graphical user interfaces,5.0,scopus,False,overlap_2025,False,1,med,grading+edu in abstract; grading not central / no benchmark,consistency,,
StepGrade: Grading Programming Assignments with Context-Aware LLMs,Akyash M.; Azar K.Z.; Kamali H.M.,2025,"2025 15th IEEE Integrated STEM Education Conference, ISEC 2025",10.1109/isec64801.2025.11147374,"Grading programming assignments is a labor-intensive and time-consuming process that demands careful evaluation across multiple dimensions of the code. To overcome these challenges, automated grading systems are leveraged to enhance efficiency and reduce the workload on educators. Traditional automated grading systems often focus solely on correctness, failing to provide interpretable evaluations or actionable feedback for students. This study introduces StepGrade, which explores the use of Chain-of-Thought (CoT) prompting with Large Language Models (LLMs) as an innovative solution to address these challenges. Unlike regular prompting, which offers limited and surface-level outputs, CoT prompting allows the model to reason step-by-step through the interconnected grading criteria, i.e., functionality, code quality, and algorithmic efficiency, ensuring a more comprehensive and transparent evaluation. This interconnectedness necessitates the use of CoT to systematically address each criterion while considering their mutual influence. To empirically validate the efficiency of StepGrade, we conducted a case study involving 30 Python programming assignments across three difficulty levels (easy, intermediate, and advanced). The approach is validated against expert human evaluations to assess its consistency, accuracy, and fairness. Results demonstrate that CoT prompting significantly outperforms regular prompting in both grading quality and interpretability. By reducing the time and effort required for manual grading, this research demonstrates the potential of GPT-4 with CoT prompting to revolutionize programming education through scalable and pedagogically effective automated grading systems.  © 2025 IEEE.",Automated Grading; Chain-of-Thought Prompting; Large Language Models; Programming Assignments; Computer software; Computer systems programming; Education computing; Efficiency; Grading; High level languages; Automated grading; Automated grading systems; Chain-of-thought prompting; Context-Aware; Labor time; Labour-intensive; Language model; Large language model; Multiple dimensions; Programming assignments; Automation,1.0,scopus,False,overlap_2025,False,1,high,grading-focused (title) + edu,reasoning,,
Explainable AI: Enhancing Transparency and Trust in Educational Technology,Barman A.; Acharya A.; Mukherjee S.; Chatterjee S.; Deyasi A.,2026,Machine Learning based Approaches for Pedagogical Data Analysis,10.1201/9781003559511-12,"Educational institutions face growing worries about AI algorithms because of their unclear operations and unfairness and lack of responsibility in decision-making processes. XAI has materialized as an essential research domain that develops methods to enhance AI decision transparency for teaching staff and students while supporting educational administrators. The work examines how XAI benefits educational deployments while focusing on the necessity of explainable features in Teaching-Learning-Assessment (TLA) procedures. This chapter analyzes essential XAI techniques which include model-agnostic approaches represented by SHAP (Shapley Additive Explanations) and LIME (Local Interpretable Model-Agnostic Explanations) alongside overviews of other classical techniques for inherently interpretable modeling. Student academic performance evaluations using AI-grading systems and predictive models undergo systematic investigation throughout this research project. The paper performs a review of different explainability methods to evaluate their ability to enhance model clarity without diminishing predictive precision. The research investigates how XAI helps reduce biases in automated educational systems by creating unbiased grading and admission procedures. The research establishes through experiments that explainable models along with explanatory methods strengthen user faith when AI systems handle educational choices. This research finds wide-reaching implications for both educational institutions through their educators and policymakers as well as AI developers who need to adopt explainability frameworks into their AI educational tools. XAI enhances trust by making AI-driven recommendations transparent which allows for informed decision-making and enables ethical adoption of AI systems in education. Research results emphasize the need for AI to find equilibrium between prediction success and interpretability to deliver improved learning results with sustained fairness and accountability. © 2026 Anirban Mukherjee, Arpan Deyasi, Soumen Mukherjee, Pampa Debnath and Lidia Ghosh.",Artificial intelligence; Decision making; Educational technology; Engineering education; Ethical technology; Students; Teaching; Transparency; AI algorithms; AI systems; Assessment procedure; Decision-making process; Educational administrators; Educational institutions; Learning assessment; Research domains; Teaching staff; Teaching-learning; Grading,0.0,scopus,False,post_cutoff,False,1,med,grading+edu in abstract; grading not central / no benchmark,grading,,
Harnessing Transformers for Enhancing Arabic Educational Assessment,Nabil E.; Saeed M.M.; Reda R.; Faizullah S.; Gomaa W.H.,2025,International Journal of Information and Education Technology,10.18178/ijiet.2025.15.12.2474,"This study introduces an intelligent scoring approach that leverages natural language processing and transformer-based models to evaluate student responses across various academic subjects. Given the linguistic complexity and variability of Arabic short-answer questions, the research proposes a novel grading method that moves beyond traditional techniques. Using the Cairo University Dataset a widely recognized benchmark focused on environmental science the study explores different preprocessing strategies and applies multiple transformer models. These models are integrated into a custom regression-based neural network designed specifically for Arabic short-answer grading. The proposed system achieves a Pearson correlation of 92.34%, surpassing the current stateof-the-art on the Cairo University Dataset. To evaluate generalizability, the model was also tested on the Arabic Short Answer Grading dataset, achieving an 80% Pearson correlation and outperforming existing benchmarks. These results demonstrate the approach’s strong potential for educational applications, offering a scalable and fair grading solution that reduces teacher workload while maintaining assessment accuracy. © 2025 by the authors.",Arabic short answer scoring; Artificial Intelligence (AI) in education; automatic scoring; Natural Language Processing (NLP); transformers,1.0,scopus,False,overlap_2025,False,1,med,grading+edu in abstract; grading not central / no benchmark,grading,PEARSON=92.34%,
The affordances of Artificial Intelligence (AI) and ethical considerations across the instruction cycle: A systematic review of AI in online higher education,Zhuang M.; Long S.; Martin F.; Castellanos-Reyes D.,2025,Internet and Higher Education,10.1016/j.iheduc.2025.101039,"As Artificial Intelligence (AI) advances, discussions regarding its potential in education have attracted significant attention. This systematic review synthesizes AI affordances in online higher education, particularly identifying various ways AI is used throughout the online instruction cycle. We analyzed fifty-five studies focusing on publication trends, research methodology and quality, AI affordances during the design, facilitation, assessment and evaluation stages, and ethical considerations in this context. The findings revealed the applications of AI-empowered systems and Machine Learning (ML) models in various tasks such as establishing learning objectives in design, supporting cognition in facilitation, automatic grading in assessment, and measuring instruction quality in evaluation. We also discussed the trends regarding the limited incorporation of theoretical frameworks, a dominance of quantitative methods, a focus of big data, and a tendency towards personalization and adaptation. The ethical considerations were categorized for each research phase - data collection, analysis, and interpretation and usage, with an emphasis on validation approaches for AI generated outputs. These findings have implications on effectively integrating AI technologies by highlighting possibilities and competencies required for practitioners and inferring potential opportunities for researchers. © 2025 The Authors",AI affordance; AIEd; Higher education; Instruction cycle; Online education; Artificial intelligence; Big data; E-learning; Ethical technology; Learning systems; Quality control; Affordances; AIEd; Artificial intelligence affordance; Ethical considerations; High educations; Instruction cycle; On-line education; Online instructions; Research quality; Systematic Review; Grading,5.0,scopus,False,overlap_2025,False,1,med,grading+edu in abstract; grading not central / no benchmark,grading,,
Research on Object-Oriented Programming Teaching Evaluation Method Based on Few-Shot Prompt Learning,Qu Y.; Li F.; Dou X.; Feng C.; Li B.,2025,Journal of Internet Technology,10.70003/160792642025122607005,"This paper proposes a programming education evaluation method based on few-shot prompt learning for object-oriented programming education. The method consists of three core components: establishing multidimensional evaluation criteria, designing a few-shot learning-based example code library, and developing intelligent evaluation prompt templates. Through a 16-week controlled experiment conducted in a university computer science program, results demonstrate significant improvements in both learning outcomes and teaching efficiency: the experimental group showed a 9.2% to 15.4% improvement in key metrics including final exam scores and code quality, while reducing grading time by 80% and shortening feedback time from 48 hours to 0.5 hours. This research provides a new paradigm for educational evaluation in computer science education. © (2025), (Taiwan Academic Network Management Committee). All rights reserved.",Few-shot learning; Large language models; Object-oriented programming design; Teaching evaluation; Computer systems programming; Education computing; Engineering education; Grading; Learning systems; Quality control; Teaching; Evaluation methods; Few-shot learning; Language model; Large language model; Object-oriented programming design; Objectoriented programming (OOP); Programming design; Programming education; Programming teaching; Teaching evaluation; Object oriented programming,0.0,scopus,False,overlap_2025,False,1,med,grading+edu in abstract; grading not central / no benchmark,code,,
"Empowering Education with Blockchain, AI, and XAI: A New Paradigm for Transparent Records and Smart Learning",Le T.; Nguyen M.; Tong T.; Pham H.; Nguyen H.,2026,Studies in Computational Intelligence,10.1007/978-3-032-06658-9_2,"Artificial Intelligence (AI) has revolutionized education by enabling personalized learning and automated assessments. However, challenges persist in ensuring transparency of AI-driven decisions and verifying academic credentials. This paper proposes an integrated system combining Blockchain, Explainable AI (XAI), and AI to address these issues through: (1) transparent student performance evaluation using SHAP and LIME, (2) a decentralized academic credentialing system leveraging Ethereum and IPFS for secure, tamper-proof records, and (3) smart contract-based automation for credential issuance and validation. Compared to traditional systems, our approach significantly enhances trust, scalability, and transparency in AI-driven education tools and academic record management. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Academic credential verification; Artificial intelligence in education; Blockchain technology; Explainable AI (XAI); Learning analytics; LIME; SHAP; Smart contracts,0.0,scopus,False,post_cutoff,False,1,med,grading+edu in abstract; grading not central / no benchmark,grading,,
TIPS for Students!,Wilkin G.A.; Yoder J.A.; Daniel M.J.,2025,SIGCSE TS 2025 - Proceedings of the 56th ACM Technical Symposium on Computer Science Education,10.1145/3641554.3701846,"Within education, there is a long-standing tension between the use of standardized grading versus student-centered, experience-based education. In this experience report, we introduce TIPS (The Incentive Points System), a supplementary framework designed to enhance traditional grading by rewarding student creativity and self-directed learning with “Incentive Points.” TIPS aims to integrate the benefits of standardized assessment and student-centered education. In TIPS, a mandatory percentage of a course grade is earned through self -initiated, directed, assessed activities, thereby encouraging students to engage deeply with the material, while fostering their intrinsic motivation, personal growth, and meta-cognitive skills. We assert that TIPS can improve fairness and equity in grading by accommodating diverse student backgrounds and abilities. TIPS is versatile, allowing for easy integration into various grading schemes. We describe implementation and student feedback on TIPS over a ten-year period, survey results, and a comparison of two class offerings with and without required Incentive Points. Collectively, these results support our claims. © 2025 Copyright held by the owner/author(s).",alternative grading; assessment; equity; fairness; grade incentive; intrinsic motivation; self-determination theory; self-directed learning; student motivation; Adversarial machine learning; Contrastive Learning; Federated learning; Students; Alternative grading; Assessment; Equity; Fairness; Grade incentive; Intrinsic motivation; Self-determination theories; Self-directed learning; Student motivation; Student-centred; Self-supervised learning,0.0,scopus,True,overlap_2025,False,1,med,grading+edu in abstract; grading not central / no benchmark [in SLR],grading,,
Effects of DeepSeek-assisted Writing Instruction on EFL Learners' Writing Performance,Hu S.; Wang L.,2025,"Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area Education Digitalization and Computer Science International Conference ,EDCS 2025",10.1145/3746469.3746577,"To investigate the effects of DeepSeek assisted writing instruction on different dimensions of learners' English writing skills, a prospective, quasi-experimental study was conducted in 2025. Employing a mixed research design, the study involved 31 students over six weeks. The experiment consisted of three stages: baseline period, intervention period and follow-up period. During the intervention period DeepSeek was employed to assist EFL learners' writing. Learners' writing production of each period was collected and rated in a randomized fashion to minimize grading bias. Then a semi-structured interview was conducted to further elucidate proficiency-dependent perceptions. Results revealed that DeepSeek significantly enhanced micro-level writing skills (i.e., vocabulary, grammar, mechanics) across all proficiency groups. However, higher-proficiency learners demonstrated greater gains in macro-level performance, while lower-proficiency learners exhibited over-reliance on technical corrections. Thematic analysis highlighted divergent attitudes: advanced learners valued DeepSeek's in-depth logical reasoning scaffolds, whereas lower-proficiency learners valued error reduction and were confounded by cognitive over-load. These findings underscore the necessity of proficiency-tailored AI assistance together with teacher guidance and peer collaboration in EFL writing pedagogy.  © 2025 Copyright held by the owner/author(s).",AI-assisted writing; Artificial intelligence; DeepSeek; EFL Writing Performance; Computer aided instruction; E-learning; Grading; Learning systems; Students; Teaching; AI-assisted writing; Deepseek; EFL writing performance; English writings; Intervention period; Prospectives; Research designs; Writing instruction; Writing performance; Writing skills; Artificial intelligence,0.0,scopus,False,overlap_2025,False,1,med,grading+edu in abstract; grading not central / no benchmark,reasoning,,
Cognitive Computing with Large Language Models for Student Assessment Feedback,Abbas N.; Atwell E.,2025,Big Data and Cognitive Computing,10.3390/bdcc9050112,"Effective student feedback is fundamental to enhancing learning outcomes in higher education. While traditional assessment methods emphasise both achievements and development areas, the process remains time-intensive for educators. This research explores the application of cognitive computing, specifically open-source Large Language Models (LLMs) Mistral-7B and CodeLlama-7B, to streamline feedback generation for student reports containing both Python programming elements and English narrative content. The findings indicate that these models can provide contextually appropriate feedback on both technical Python coding and English specification and documentation. They effectively identified coding weaknesses and provided constructive suggestions for improvement, as well as insightful feedback on English language quality, structure, and clarity in report writing. These results contribute to the growing body of knowledge on automated assessment feedback in higher education, offering practical insights for institutions considering the implementation of open-source LLMs in their workflows. There are around 22 thousand assessment submissions per year in the School of Computer Science, which is one of eight schools in the Faculty of Engineering and Physical Sciences, which is one of seven faculties in the University of Leeds, which is one of one hundred and sixty-six universities in the UK, so there is clear potential for our methods to scale up to millions of assessment submissions. This study also examines the limitations of current approaches and proposes potential enhancements. The findings support a hybrid system where cognitive computing manages routine tasks and educators focus on complex, personalised evaluations, enhancing feedback quality, consistency, and efficiency in educational settings. © 2025 by the authors.",automatic assessment feedback; CodeLlama-7B; data science assessments; Mistral-7B; Python code analysis; Codes (symbols); Computer control; Damage detection; Data mining; Data Science; Students; System program documentation; Teaching; Automatic assessment; Automatic assessment feedback; Code analysis; Codellama-7b; Cognitive Computing; Data science assessment; Mistral-7b; Python code; Python code analyze; Science assessments; Python,2.0,scopus,False,overlap_2025,False,1,med,grading+edu in abstract; grading not central / no benchmark,consistency,,
A Large Language Model Question Generator Based on Bloom's Taxonomy Template,Toba H.; Yudha L.G.O.P.; Karnalim O.; Bunyamin H.; Tada T.,2025,ACM International Conference Proceeding Series,10.1145/3719487.3719537,"Integrating Artificial Intelligence (AI) in education has become a transformative force, particularly in developing teaching materials and automated assessments. This paper explores the potential of AI, precisely OpenAI's natural language processing capabilities, to revolutionize educational practices by automating the generation of diverse and aligned assessment questions. By leveraging AI-driven tools, educators can enhance the scalability and personalization of educational resources, thereby improving student engagement and learning outcomes. This preliminary study evaluates the incorporation of a large language model, ChatGPT-3.5-Turbo, to generate questions for a pre-test activity. In our observation that compares two academic year assessments, the generated pre-test questions could improve the post-test achievement significantly. Our findings suggest that while AI tools like the proposed question generator show the potential to raise concept understanding, there is still room for improvement in challenging students with higher-order thinking skills.  © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.",Artificial Intelligence; Automated Assessments; ChatGPT-3.5-Turbo; Educational Technology; Question Generation; Education computing; Educational technology; Engineering education; Learning systems; Students; Artificial intelligence in education; Automated assessment; Bloom taxonomies; ChatGPT-3.5-turbo; Language model; Language processing; Model questions; Natural languages; Question generation; Teaching materials; Artificial intelligence,3.0,scopus,False,overlap_2025,False,1,med,grading+edu in abstract; grading not central / no benchmark,grading,,
A Review of Retrieval-Augmented Generation-Based Large Language Model Chatbots for Enhanced Academic and Administrative Support in Universities,Gavali P.; Jadhav R.; Chougule V.; Jadhav A.; Pise S.; Patil S.,2026,"Smart Innovation, Systems and Technologies",10.1007/978-981-96-6250-0_39,"Universities frequently face challenges in delivering timely, accurate information across key domains such as academics, admissions, and campus resources, leading to confusion and inefficiencies for students, faculty, and parents. Outdated or fragmented data on courses, exams, and essential services exacerbates this issue, making it difficult to navigate admissions processes and access critical resources, including faculty information. This project develops a chatbot driven by a retrieval-augmented generation (RAG) large language model (LLM) to address the difficulties of increasing accessibility and accuracy in offering academic and administrative help. The study investigates how this system can efficiently provide trustworthy, up-to-date information on subjects including faculty, admissions, academics, and campus amenities. By sourcing up-to-date information from trusted university databases and external sources, the chatbot offers detailed academic support, including courses, syllabi, exam schedules, and grading policies. It simplifies admissions by guiding prospective students through eligibility, deadlines, and application procedures. Additionally, it centralized access to information about key campus resources like libraries, labs, and research centers, while offering comprehensive faculty profiles, including specialization insights. In order to continuously improve results and guarantee accuracy and relevance, the methodology incorporates interactive elements and user input. According to preliminary results, the chatbot optimizes the entire campus experience by increasing user engagement and decreasing inefficiencies. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.",Artificial intelligence; Chatbot; Education; Large language models; Retrieval-augmented generation; Chatbots; Curricula; Information retrieval; Students; Teaching; Academic supports; Application procedures; Chatbots; Critical resources; Essential services; External sources; Language model; Large language model; Prospectives; Retrieval-augmented generation; Artificial intelligence,0.0,scopus,False,post_cutoff,False,1,med,grading+edu in abstract; grading not central / no benchmark,grading,,
Hybrid Semantic–Syntactic NLP Framework for Intelligent Grading of Short Answers and Cloze Questions,Julius O.; Verkijika S.F.; Obagbuwa I.C.,2026,Applied Sciences (Switzerland),10.3390/app16073191,"The increasing demand for scalable and fair assessment of open-form responses in digital education shows the need for intelligent grading systems capable of balancing syntactic precision with semantic understanding. This study proposes a hybrid semantic–syntactic NLP framework for automated grading of short-answer and cloze-type questions. The framework integrates a rule-based matcher for syntactic accuracy, MPNet (Masked and Permuted Pre-trained Network) embeddings for semantic similarity, and a fine-tuned DeBERTa (Decoding-enhanced Bidirectional Encoder Representations from Transformer with Disentangled Attention) regressor for continuous score prediction, while a T5-small model provides pedagogically aligned feedback generation. Evaluations were conducted using benchmark corpora, synthetic cloze datasets, and a domain-specific short-answer corpus. Results demonstrate that the hybrid system outperforms traditional baselines, achieving 91% accuracy, a 0.89 F1 score, a mean absolute error of 0.36, and strong inter-rater agreement (κ = 0.87), aligning closely with human graders. Qualitative analyses show that the framework successfully recognizes paraphrased responses, assigns partial credit, and generates meaningful feedback. Ablation studies further validate the necessity of each subsystem, with performance significantly declining when components were removed. The findings confirm that the proposed framework is both computationally robust and pedagogically valuable, establishing a foundation for scalable, interpretable, and fair automated grading in contemporary educational environments. © 2026 by the authors.",automated short-answer grading; cloze test assessment; Educational AI; hybrid NLP framework; semantic–syntactic integration; Artificial intelligence; Automation; E-learning; Education computing; Feedback; Grading; Hybrid systems; Semantic Web; Semantics; Teaching; Automated grading; Automated short-answer grading; Cloze test assessment; Educational AI; Hybrid NLP framework; Intelligent grading systems; Rule based; Semantics understanding; Semantic–syntactic integration; Syntactic integration; article; benchmarking; child; diagnosis; diagnostic test accuracy study; human; hybrid; interrater reliability; mean absolute error; natural language processing; prediction; qualitative analysis; Syntactics,0.0,scopus,False,post_cutoff,False,1,high,grading-focused (title) + edu [metric:Κ=0.87],consistency,Κ=0.87,
