"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluating Handwritten and Multimodal, Free-Style Responses in Algorithms and Data Structures: A RAG-LLM-Based Feedback Framework","S. Dara; Q. Cheng","Computer Science Department, University of North Carolina at Charlotte, Charlotte, NC; Computer Science Department, University of North Carolina at Charlotte, Charlotte, NC",2025 IEEE Frontiers in Education Conference (FIE),"13 Jan 2026","2025","","","1","7","This innovative practice full paper presents a retrieval-augmented large language model (RAG-LLM) framework for evaluating handwritten and multimodal, freeform student responses. In the age of AI, open-ended questions play a vital role in computer science and engineering education, aligning with the ICAP framework to promote deeper cognitive engagement. However, large enrollments pose significant challenges in assessing such responses and delivering highquality, personalized feedback at scale while minimizing attentional errors. To address this issue, we introduce a tool that leverages RAG-LLMs to enable scalable, automated assessment and feedback generation with interpretable reasoning. By incorporating domain-specific content, vector-based context retrieval, and evaluation validation, our approach aims to reduce hallucinations, errors, and biases in generative AI outputs-ultimately enhancing both feedback accuracy and instructional value. We applied the framework to 816 student submissions from a graduate-level Algorithms course (Fall 2023), focusing on responses identifying the Big O notation of recurrence relations, which were manually graded with curated feedback. Using five LLMs and three embedding models, we conducted prompt engineering and evaluated the pipeline across four quality metrics. Our results show that while LLM choice had minimal impact, the selection of sentence encodings significantly influenced evaluation outcomes. We also applied the pipeline to auto-assess 770 responses from the Spring 2025 offering of the same course, with positive and promising results based on student perception data.","2377-634X","979-8-3315-0105-1","10.1109/FIE63693.2025.11328498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11328498","Retrieval-Augmented Generation (RAG);Large Language Model (LLM);Natural Language Processing (NLP)","Measurement;Large language models;Pipelines;Retrieval augmented generation;Natural language processing;Encoding;Reliability;Prompt engineering;Springs;Software development management","","1","","21","IEEE","13 Jan 2026","2-5 Nov. 2025","2-5 Nov. 2025","IEEE","IEEE Conferences"
"Generative AI in Education and its Future Possibilities","M. Sindhu; Sarita; Y. Y. Raghav; K. Kundu","Amity School of Engineering & Technology, Amity University Haryana, Haryana, India; Amity School of Engineering & Technology, Amity University Haryana, Haryana, India; Department of Computer Science & Engineering, K.R. Mangalam University, Haryana, India; Department of Electronics & Communication Engineering, GL Bajaj Institute of Technology & Management, Uttar Pradesh, India",2025 International Conference on Intelligent and Secure Engineering Solutions (CISES),"5 Dec 2025","2025","","","68","74","The launch of ChatGPT in 2022 marked a significant change in how the world perceived and interacted with GenAI tools. The ease of use and accessibility of GenAI tool was a source of both concern and intrigue. There are vast opportunities to explore the constantly changing Artificial Intelligence domain, predominantly in education, where using GenAI has potential to revolutionize the field through its ability to assist in content generation, personalized tutoring, assessment support, and administrative efficiency. This paper investigates the current and emerging role of GenAI in education by combining conceptual analysis with quantitative insights drawn from two student survey datasets. Our data-driven exploration identifies usage trends, trust levels, and perceived academic impacts across diverse academic streams. The study explores the potential roles GenAI in educational sectors primarily as student’s learning assistant, assessment and evaluation tool and a mean for administration support. While emphasizing on student-centered learning, the paper addresses key challenges in integrating GenAI into traditional educational systems, including data privacy concern, fairness, and ethical governance. By merging empirical findings with theoretical insights, this study aims to guide educators, institutions, and policymakers in the thoughtful adoption and effective use of GenAI technologies in modern education.","","979-8-3315-7349-2","10.1109/CISES66934.2025.11265181","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11265181","Generative AI;automated Assessments;Self-regulated learning;Support system","Training;Surveys;Ethics;Data privacy;Generative AI;Navigation;Education;Merging;Chatbots;Multilingual","","","","27","IEEE","5 Dec 2025","11-13 Aug. 2025","11-13 Aug. 2025","IEEE","IEEE Conferences"
"Comparison of Generative Artificial Intelligence Tools in the Assessment of Student Assignments","M. Novak; D. Andročec; R. Picek","Faculty of Organization and Informatics, University of Zagreb, Varažzdin, Croatia; Faculty of Organization and Informatics, University of Zagreb, Varažzdin, Croatia; Faculty of Organization and Informatics, University of Zagreb, Varažzdin, Croatia","2025 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","17 Oct 2025","2025","","","1","6","Grading student assignments, especially in large classes, is a time-consuming task, making the automation of the assessment process highly desirable. With the rise of Generative Artificial Intelligence (GAI), tools such as ChatGPT, Claude AI, and DeepSeek have emerged as possible solutions for automating this process. This study examines the effectiveness of the three GAI tools in grading three types of student assignments: graphical data models, code quality assignment, and text-based assignments. We conducted experiments across three undergraduate courses, comparing AI-generated grades with those manually assigned by teachers. The results showed that while GAI tools performed well in grading structured assignments like graphical models and code assessments, they struggled with the subjective nature of descriptive text evaluations. Claude AI performed best in evaluating graphical models, while DeepSeek outperformed ChatGPT in assessing code quality. However, deviations were observed in grading descriptive assignments, raising concerns about the reliability of GAI tools for tasks that require deep contextual understanding and creativity. The study highlights the potential of GAI to reduce grading time and provide constructive feedback, but also emphasizes the need for careful integration of these tools into educational practices. Ethical concerns, particularly regarding data privacy, suggest that offline or institutionally hosted GAI models could provide a viable solution.","1847-358X","978-953-290-143-6","10.23919/SoftCOM66362.2025.11197413","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11197413","generative AI;higher education;assessment automation;student assignments","Training;Ethics;Data privacy;Codes;Graphical models;Automation;Generative AI;Chatbots;Data models;Reliability","","","","16","","17 Oct 2025","18-20 Sept. 2025","18-20 Sept. 2025","IEEE","IEEE Conferences"
"Automated Essay Assessment Using Generative AI: Evaluating DeepSeek’s Performance in University-Level Grading","L. Rai; K. Sheng; F. Liu","College of Electronic and Information Engineering, Shandong University of Science and Technology, Qingdao, China; College of Information Engineering, Shandong Vocational University of Foreign Affairs, Weihai, China; College of Information Engineering, Shandong Vocational University of Foreign Affairs, Weihai, China",2025 IEEE 8th International Conference on Electronic Information and Communication Technology (ICEICT),"17 Sep 2025","2025","","","242","247","The purpose of this paper to quantitatively evaluate the performance of DeepSeek while evaluating essay-style university student assessments. Different types of essays are collected, with varying degree of answers, features and are prompted to obtain their grade. To ensure a rigorous evaluation of ten essays considered in this study, we carefully designed the evaluation framework to yield meaningful outputs from DeepSeek. Our methodology incorporates assessments exhibiting diverse characteristics, including both AI-generated responses and authentic student submissions. Prompts are entered in different modes such as default DeepSeek mode, and DeepThink (R1) mode. The results obtained are compared with that of actual human instructor, and the analysis of results are provided. Study indicates that DeepSeek demonstrates efficiency in comprehensively analyzing essay content, critically assessing its quality, and generating scores that closely align with those assigned by human instructors. However, human oversight remains essential to ensure precise and definitive evaluation of final scores.","2836-7782","979-8-3315-9505-0","10.1109/ICEICT66683.2025.11159874","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11159874","Generative AI;assessments;DeepSeek;university;grading","Deep learning;Ethics;Correlation;Generative AI;Reviews;Plagiarism;Data integrity;Information and communication technology;Reliability;Currencies","","1","","14","IEEE","17 Sep 2025","26-28 July 2025","26-28 July 2025","IEEE","IEEE Conferences"
"GAI Versus Teacher Scoring: Which is Better for Assessing Student Performance?","X. Li; M. Zappatore; T. Li; W. Zhang; S. Tao; X. Wei; X. Zhou; N. Guan; A. Chan","Ontario Institute for Studies in Education, University of Toronto, Toronto, ON, Canada; Department of Engineering for Innovation, University of Salento, Lecce, Italy; School of Education, Shanghai Jiao Tong University, Shanghai, China; School of Political Science and Law, Northeast Normal University, Changchun, China; Graduate School of Education, Harvard University, Cambridge, MA, USA; Boston University, Boston, MA, USA; Ontario Institute for Studies in Education, University of Toronto, Toronto, ON, Canada; Department of Computer Science, University of Toronto, Toronto, ON, Canada; Graduate School of Education, Harvard University, Cambridge, MA, USA",IEEE Transactions on Learning Technologies,"3 Jun 2025","2025","18","","569","580","The integration of generative artificial intelligence (GAI) into educational settings offers unprecedented opportunities to enhance the efficiency of teaching and the effectiveness of learning, particularly within online platforms. This study evaluates the development and application of a customized GAI-powered teaching assistant, trained specifically to enhance teaching efficiency for educators and improve learning outcomes for students in online education. Using four Grade 12 courses (i.e., English, Mathematics, Financial Accounting, and Simplified Chinese), we assessed the performance of generative pretrained transformer (GPT)-4, GPT-4o, and the Trained-GPT model. Results demonstrate that the Trained-GPT achieved grading accuracy and consistency comparable to human teachers, with strong correlations observed in Mathematics (0.996) and English (0.874). While GPT-4o performed well in specific cases, its variability highlights areas for improvement. These findings underscore the potential of AI-powered teaching assistants to streamline grading, deliver timely feedback, and support scalable, high-quality online education.","1939-1382","","10.1109/TLT.2025.3572518","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11008832","Artificial intelligence (AI);automated grading;educational technology;generative AI (GAI);generative pretrained transformer (GPT) models;online education","Education;Artificial intelligence;Training;Generative Pre-trainer transformer;Generative AI;Accuracy;Transformers;Mathematical models;Translation;Semantics","","2","","63","IEEE","21 May 2025","2025","","IEEE","IEEE Journals"
"An Integrated OCR-LLM-Graph Framework for Intelligent Educational Question Generation","S. A. J; J. V; F. S; A. T","Department of Artificial Intelligence and Machine Learning, Rajalakshmi Engineering College, Chennai, India; Department of Artificial Intelligence and Machine Learning, Rajalakshmi Engineering College, Chennai, India; Department of Artificial Intelligence and Machine Learning, Rajalakshmi Engineering College, Chennai, India; Department of Artificial Intelligence and Machine Learning, Rajalakshmi Engineering College, Chennai, India",2026 9th International Conference on Trends in Electronics and Informatics (ICOEI),"3 Jun 2026","2026","","","1364","1369","Generating curriculum-aligned questions and grading are great difficulties when it comes to AI-powered education. Our platform addresses this basic difficulty of generating curriculum-aligned questions and grading them along with student responses in AI-powered education. The technology generates high-quality questions from instructional textual content automatically, using pretrained language model Llama 3.1. The system accepts a large variety of question types, such as multiple-choice and open-ended formats, the syllabus alignment accuracy is ensured to preserve pedagogical value. It also greatly reduces the workload of educators tasked with assessment design, freeing them to focus on instructional quality and student engagement. Moreover, the platform provides pedagogically more relevant questions, since its generated questions closely match the requirements set forth by a curriculum; this will clearly result in more effective and focused learning assessments. The platform helps modernize and increase efficiency for educational assessment procedures by using powerful generative Artificial Intelligence techniques with educational experience, improved learning outcomes, and streamlined educator workflows.","","979-8-3315-7588-5","10.1109/ICOEI68323.2026.11542204","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11542204","educational assessment;generative Artificial Intelligence;Llama 3.1;multiple-choice;student engagement","Modeling;Question generation;Artificial intelligence;Printing;Generative AI;Learning (artificial intelligence);Context;Visualization;Coherence","","","","15","IEEE","3 Jun 2026","21-23 April 2026","21-23 April 2026","IEEE","IEEE Conferences"
"Evaluating Source Code Embeddings From LLMS for Educational Downstream Tasks","N. A. Pais; K. Sampong; E. Sartor; R. Chaturvedi","School of Computer Science University of Guelph, Guelph, Canada; School of Computer Science University of Guelph, Guelph, Canada; School of Computer Science University of Guelph, Guelph, Canada; School of Computer Science University of Guelph, Guelph, Canada","2025 IEEE 16th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)","4 Dec 2025","2025","","","0326","0334","Recent advancements in deep learning (DL) have significantly impacted natural language processing tasks such as language modeling, translation, and paragraph comprehension. These developments extend naturally to the software engineering domain, particularly in learning from source code. This work focuses on optimizing DL applications in source code learning by analyzing how different input embeddings affect model performance when training on C++ code. Given that source code differs from natural language in structure and semantics, we introduce a framework to systematically compare multiple embedding strategies for three educational downstream tasks: code correctness, code summarization, and introduce a framework for code similarity. We also propose a fine-tuning approach for adapting a pre-trained, code-centric large language model to generate context-aware C++ embeddings tailored to these tasks and explore their performance on these downstream tasks. Experimental evaluations reveal key findings on features associated with C++ source code and their respective embeddings at varying levels of problem complexity. We also discuss limitations and drawbacks of code embeddings generated by such models in classifying correct versus incorrect code, and how these findings can support automated and accurate grading in educational settings. In addition, we evaluate the models' source code summarization capabilities, highlighting how well they generate meaningful summaries that capture both structural and semantic aspects of the code.","","979-8-3315-6501-5","10.1109/UEMCON67449.2025.11267548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11267548","educational data mining;machine learning;deep learning;Code-Centric Large Language Models (LLMs)","Deep learning;Training;Codes;Translation;Source coding;Large language models;Semantics;C++ languages;Natural language processing;Software engineering","","","","28","IEEE","4 Dec 2025","22-24 Oct. 2025","22-24 Oct. 2025","IEEE","IEEE Conferences"
"Towards LLMs in the BeA Platform to Support Assessment and Reviewing Tasks","M. Llamas-Nistal; M. Caeiro-Rodríguez; F. A. Mikic-Fonte; M. Liz-Domínguez; N. Yarovenko-Kuzminykh","atlanTTic Research Center, University of Vigo, Vigo, Spain; atlanTTic Research Center, University of Vigo, Vigo, Spain; atlanTTic Research Center, University of Vigo, Vigo, Spain; Dept. of Electronics and Computing, University of Santiago de Compostela, Lugo, Spain; atlanTTic Research Center, University of Vigo, Vigo, Spain",2025 International Symposium on Computers in Education (SIIE),"4 Feb 2026","2025","","","1","4","This work-in-progress paper focuses on integrating Large Language Models (LLMs) to enhance the blended e-assessment platform BeA. This platform combines traditional pen-and paper assessment with online processing including grading and review processes. The proposed improvements aim to include handwriting recognition, automatic grading of short-text answers, and the use of conversational agents to support review and feedback provisioning. The handwriting recognition system would not only identify answers but also distinguish individual writing styles, overcoming current issues with QR codes used for student identification. The automatic grading feature would assist teachers by providing initial grading proposals. Conversational agents support and feedback will consider both current assessments and past performance, enabling a more personalized, continuous learning experience. The final goal is to develop an intelligent assessment system to better support teachers and students in their assessment experiences.","2476-2172","979-8-3315-6257-1","10.1109/SIIE68580.2025.11368348","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11368348","e-assessment;LLM;automatic grading;feedback","Computers;Handwriting recognition;Accuracy;Reviews;Large language models;Education;Refining;Optical character recognition;QR codes;Proposals","","","","17","IEEE","4 Feb 2026","20-22 Nov. 2025","20-22 Nov. 2025","IEEE","IEEE Conferences"
"Essay Scoring with LLM Agent","F. P. Espino; A. Y. Dolganov","Ural Federal University - CTI, Ekaterinburg, Russia; Ural Federal University - RTF, Ekaterinburg, Russia","2025 IEEE Ural-Siberian Conference on Biomedical Engineering, Radioelectronics and Information Technology (USBEREIT)","2 Jul 2025","2025","","","191","194","This study presents an AI-based agent designed to automate the grading of student essays in the Ecology course at Ural Federal University. The agent leverages the capabilities of Large Language Models (LLMs), particularly from the Llama family, to evaluate various aspects of student writing, including grammar, structure, and content relevance. The system integrates advanced natural language processing techniques, Python libraries for data handling and analysis, and prompt engineering strategies to ensure accurate interpretation of student input. In addition to scoring, the model generates detailed feedback aimed at helping students understand their strengths and areas for improvement.Preliminary results from experiments using different versions of Llama models show a tendency to assign mid-range scores across most submissions. This indicates a challenge in clearly distinguishing between low- and high-quality responses, particularly for essays lacking strong arguments or cohesive structure. Despite occasional inconsistencies in scoring, the implementation of AI in the grading process has the potential to significantly streamline assessment workflows, reduce instructor workload, and enhance the consistency and depth of feedback. These findings suggest promising directions for improving both the accuracy and transparency of automated grading systems in educational contexts.","2769-3635","979-8-3503-9270-8","10.1109/USBEREIT65494.2025.11054195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11054195","LLM;Agent;Essay scoring","Accuracy;Biological system modeling;Large language models;Refining;Ecology;Natural language processing;Libraries;Grammar;Prompt engineering;Testing","","","","13","IEEE","2 Jul 2025","12-13 May 2025","12-13 May 2025","IEEE","IEEE Conferences"
"RATAS: A GenAI Approach for Explainable and Scalable Automated Answer Grading","M. Safilian; A. Beheshti; S. Elbourn","Macquarie University, Sydney, Australia; Macquarie University, Sydney, Australia; ITIC Company, Sydney, Australia",2025 International Conference on Education Technology and Computers (ICETC),"19 Feb 2026","2025","","","377","382","Automated answer grading is a critical challenge in educational technology, with the potential to streamline assessment processes, ensure grading consistency, and provide timely feedback to students. However, existing approaches are often constrained to specific exam formats, lack interpretability in score assignment, and struggle with real-world applicability across diverse subjects and assessment types. To address these limitations, we introduce RATAS (Rubric Automated Tree-based Answer Scoring), a novel framework that leverages state-of-the-art generative AI models for rubric-based grading of textual responses. RATAS is designed to support a wide range of grading rubrics, enable subject-agnostic evaluation, and generate structured, explainable rationales for assigned scores. We formalize the automatic grading task through a mathematical framework tailored to rubric-based assessment and present an architecture capable of handling complex, real-world exam structures. To rigorously evaluate our approach, we construct a unique, contextualized dataset derived from real-world project-based courses, encompassing diverse response formats and varying levels of complexity. Empirical results demonstrate that RATAS achieves high reliability and accuracy in automated grading while providing interpretable feedback that enhances transparency for both students and instructors. To advance research in this domain, we publicly release all code on https://github.com/datalab912/RATASv1.","","979-8-3315-9791-7","10.1109/ICETC66579.2025.11387103","Macquarie University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11387103","Automated Grading;Rubric-Based Grading;Generative AI;Real Textual Exams;Rubric Contexulization","Computers;Codes;Accuracy;Generative AI;Educational technology;Computer architecture;Mathematical models;Complexity theory;Reliability","","","","34","IEEE","19 Feb 2026","18-21 Sept. 2025","18-21 Sept. 2025","IEEE","IEEE Conferences"
"Enhancing Automated Grading with Capabilities of LLMs: Using Prompt Engineering and RAG Techniques","T. Abeywardana; N. Nandadewa; V. Wickramasinghe; S. Rohanadheera; T. Nadungodage; P. Hewagamage","School of Computing, University of Colombo, Colombo, Sri Lanka; School of Computing, University of Colombo, Colombo, Sri Lanka; School of Computing, University of Colombo, Colombo, Sri Lanka; School of Computing, University of Colombo, Colombo, Sri Lanka; School of Computing, University of Colombo, Colombo, Sri Lanka; School of Computing, University of Colombo, Colombo, Sri Lanka",2025 5th International Conference on Advanced Research in Computing (ICARC),"16 Apr 2025","2025","","","1","6","This research explores the potential of Large Language Models (LLMs) to automate the grading process in education by harnessing LLMs’ sophisticated understanding of language and instructions following nature. We explore the effectiveness of providing subject knowledge and utilizing prompt engineering techniques to grade the students’ written answers for different question types and various theoretical subjects. A grading rubric was employed to ensure consistency and fairness in the assessment process. The study results highlighted the importance of providing external knowledge within the prompt to enhance the automated student answer grading utilizing LLMs. Including grading rubrics, model answers, and course content significantly enhanced the accuracy of scores assigned by the LLM, reducing deviations from human evaluator scores. Providing course content or model answers also helped define the expected answer scope and guide the LLM in determining other possible correct answers. Using prompt engineering techniques within the prompt failed to outperform the basic prompt, suggesting the need for further exploration and refinement in prompt design strategies.","","979-8-3315-3098-3","10.1109/ICARC64760.2025.10962827","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10962827","LLM;RAG;AES;Grading;Prompt engineering","Knowledge engineering;Analytical models;Accuracy;Large language models;Computational modeling;Education;Cognition;Prompt engineering;Context modeling","","1","","17","IEEE","16 Apr 2025","19-20 Feb. 2025","19-20 Feb. 2025","IEEE","IEEE Conferences"
"LLM-Driven Feature Inference for Analyzing Student Git Collaboration","R. Gedeon; N. Giacaman","Department of Technology, Bethlehem University, Bethlehem, Palestine; Faculty of Engineering and Design, University of Auckland, Auckland, New Zealand",IEEE Access,"24 Apr 2026","2026","14","","61117","61130","Project-based courses increasingly rely on Git version control systems such as GitHub, yet raw commit histories are difficult for instructors to interpret in terms of collaboration and feature development. This paper investigates how large language models (LLMs) can support this analysis by generating natural-language summaries of student commits and assigning feature-level labels. Using data from a software engineering project course, we apply a four-phase LLM pipeline that (i) extracts and normalizes commit data, (ii) infers high-level feature and non-feature categories from commit messages, (iii) consolidates synonymous labels into a unified vocabulary, and (iv) classifies each commit to a specific label. We then group the resulting labels into Compulsory Features, Optional Features, and Non-Features (maintenance tasks such as testing, refactoring, and configuration) to distinguish teams that implemented only minimum requirements from those that pursued additional functionality. We derive analytics on feature coverage, collaboration patterns, commit-size distributions across teams, and workload balance using per-student commit shares and the Gini coefficient. Our results show that many teams collaboratively implemented core features, while optional requirements revealed substantial variation in ambition. Teams that worked on optional features tended to receive higher grades, providing initial evidence that the LLM-derived analytics align with instructor judgements. In addition, the LLM-generated summaries and labels help instructors locate where features are implemented, exercise them during grading, and provide targeted feedback. We argue that LLMs can act as practical co-analysts for educational GitHub repositories, transforming low-level version-control data into actionable insights for teaching and assessment.","2169-3536","","10.1109/ACCESS.2026.3685720","Bethlehem University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11488560","Collaboration;educational data mining;feature extraction;Git;large language models;software engineering education;version control mining","Feedback;Circuits;Electronic mail;Service-oriented architecture;Crowdsourcing;Web services;Internet;Social computing;Amplitude shift keying;Feedback loop","","","","25","CCBY","20 Apr 2026","2026","","IEEE","IEEE Journals"
"Are Large Language Models Smart Enough for SQL Tutoring and Assessment?","K. Naha; S. Y. Rubaiat; H. M. Jamil","Department of Computer Science, University of Idaho, USA; Department of Computer Science, University of Idaho, USA; Department of Computer Science, University of Idaho, USA",2025 IEEE International Conference on Advanced Learning Technologies (ICALT),"17 Oct 2025","2025","","","357","359","The rise of Large Language Models (LLMs) as powerful knowledge-processing tools has sparked a wave of innovation in tutoring and assessment systems. Despite their well-documented limitations, LLMs offer unique capabilities that have been effectively harnessed for automated feedback generation and grading in intelligent learning environments. In this paper, we introduce Project 360, an experimental intelligent tutoring system designed for teaching SQL. Project 360 leverages the concept of query equivalence to assess the accuracy of student queries, using ChatGPT's advanced natural language analysis to measure their semantic distance from a reference query. By integrating LLM-driven evaluation, Project 360 significantly outperforms traditional SQL tutoring and grading systems, offering more precise assessments and context-aware feedback. This study explores the feasibility and limitations of using ChatGPT as the analytical backbone of Project 360, evaluating its reliability for autonomous tutoring and assessment in database education. Our findings provide valuable insights into the evolving role of LLMs in education, highlighting their potential to revolutionize SQL learning while identifying areas for further refinement and improvement.","2161-377X","979-8-3315-6530-5","10.1109/ICALT64023.2025.00109","National Institutes of Health(grant numbers:P20GM103408); National Science Foundation(grant numbers:DE-0011014); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11194801","Large language model;database;SQL;authentic assessment;intelligent tutoring;query equivalence","Structured Query Language;Technological innovation;Databases;Large language models;Scalability;Education;Semantics;Chatbots;User experience;Reliability","","","","21","IEEE","17 Oct 2025","14-17 July 2025","14-17 July 2025","IEEE","IEEE Conferences"
"WIP: “Can You Do My Homework?” and Other Queries - an Analysis of Student Prompts to Generative AI in an Engineering Statics Course","J. F. Wyszynski; L. A. Dosse; M. M. Barry","Dept. of Industrial Engineering, University of Pittsburgh, Pittsburgh, PA, USA; Dept. of Mechanical Engineering, and Materials Science, University of Pittsburgh, Pittsburgh, PA, USA; Dept. of Mechanical Engineering, and Materials Science, University of Pittsburgh, Pittsburgh, PA, USA",2025 IEEE Frontiers in Education Conference (FIE),"13 Jan 2026","2025","","","1","5","(WIP) Generative AI (GenAI) is substantially impacting engineering, thus raising questions regarding its educational implications. This study investigates how students use one type of GenAI in an introductory Statics and Mechanics of Materials course $(n=131)$. This course leveraged a digital interactive textbook hosted on Top Hat, where students could access the GenAI assistant, ACE. All student prompts to Top Hat ACE were recorded during the last quarter of a 16-week semester (IRB: STUDY24110088). This study assesses student inputs via thematic coding and examines Top Hat ACE prompts in which students seek assistance from the AI on questions in the textbook. 71% of students $(n=93)$ interacted with ACE. Assigned textbook questions that students asked to ACE were categorized by question type, format, and grading style. Most students who used ACE never copied and pasted assigned questions into the chatbot. Those who used ACE to answer assigned course questions tended to seek solutions for numerical questions, which often included data within figures, and questions with large word counts. Students repeatedly prompted the chatbot during late hours, particularly between 12:00 a.m. and 2:00 a.m., which fell outside of office hours. Completing work during these hours may explain increased solution-seeking behavior. Although the findings from this work-in-progress study are limited, the results presented in this paper guide further investigation into user-input quantitative data for studying student GenAI usage.","2377-634X","979-8-3315-0105-1","10.1109/FIE63693.2025.11328175","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11328175","Artificial intelligence;generative AI;Top Hat ACE","Visualization;Ethics;Codes;Generative AI;Training data;Chatbots;Market research;Encoding;Tuning;Testing","","","","16","IEEE","13 Jan 2026","2-5 Nov. 2025","2-5 Nov. 2025","IEEE","IEEE Conferences"
"Educators' Adoption and Perceptions of Generative AI Tools in Higher Education","O. Iatrellis; I. Kosmopoulou; N. Samaras; K. Kokkinos","Dept. of Digital Systems, University of Thessaly, Larissa, Greece; Dept. of Digital Systems, University of Thessaly, Larissa, Greece; Dept. of Digital Systems, University of Thessaly, Larissa, Greece; Dept. of Digital Systems, University of Thessaly, Larissa, Greece",2025 6th International Conference of the Portuguese Society for Engineering Education (CISPEE),"20 Aug 2025","2025","","","1","7","Since the introduction of ChatGPT in late 2022, the role of artificial intelligence-driven chatbots in higher education has garnered widespread attention. However, the perspectives of faculty and academic staff regarding these tools remain insufficiently examined. This study explores how educators integrate and perceive generative AI in instructional activities, administrative processes, and student support services. A web-based survey incorporating both structured and open-ended questions was conducted among faculty members associated with a European university network. The findings indicate that nearly half of the participants have utilized AI-powered platforms, such as OpenAI's GPT models, for tasks like course planning, assessment grading, and student guidance. Many respondents acknowledged that AI enhances efficiency in routine academic operations, with two-thirds recognizing its role in optimizing administrative workflows. Furthermore, a significant proportion emphasized the need for institutional policies and targeted training programs to facilitate the responsible adoption of AI in academic environments. Nonetheless, the qualitative responses reflected diverse viewpoints, particularly regarding concerns related to data security, the reliability of AI-generated content, and its potential influence on the future landscape of teaching. These insights underscore both the advantages and challenges associated with incorporating large-scale AI chatbots into university settings.","","979-8-3315-2189-9","10.1109/CISPEE64787.2025.11124027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11124027","Generative AI;Educators' Attitudes;Large Language Models;Chatbot Integration","Training;Surveys;Technological innovation;Generative AI;Transforms;Chatbots;Regulation;Planning;Reliability;Standards","","","","22","IEEE","20 Aug 2025","16-18 July 2025","16-18 July 2025","IEEE","IEEE Conferences"
"Automated assessment of open-ended computer science questions using large language models","M. Ölvecký; M. Beňo; P. Díaz","Institute of Computer Technologies and Informatics, University of Ss. Cyril and Methodius, Trnava, Slovak Republic; Institute of Computer Technologies and Informatics, University of Ss. Cyril and Methodius, Trnava, Slovak Republic; Institute of Computer Technologies and Informatics, University of Ss. Cyril and Methodius, Trnava, Slovak Republic",2025 International Conference on Emerging eLearning Technologies and Applications (ICETA),"15 Dec 2025","2025","","","624","629","This study examines the use of various machine learning algorithms and large language models (LLM) to evaluate student answers in a computer science learning environment. To capture semantic nuances, models such as MiniLM and SlovakBert were used to convert text into vector embeddings and assess similarity using cosine measures. More advanced LLM, including various Llama and Gemma architectures, were integrated via an API to classify answers as either correct or incorrect. Experimental evaluation of a dataset comprising 50 diverse student responses revealed that, while rule-based methods achieved only moderate accuracy, semantic and LLM-based models significantly improved performance. The largest Llama 3 (70B) model achieved near-perfect accuracy. Despite these promising results, the crucial role of teachers in validating and supervising assessment outcomes was emphasized, particularly given the potential for students to misuse AI.","","979-8-3315-7426-0","10.1109/ICETA67772.2025.11280262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280262","semantic textual similarity;large language model;automated assessment;open-ended question","Computer science;Ethics;Accuracy;Large language models;Computational modeling;Plagiarism;Semantics;Manuals;Vectors;Reliability","","","","35","IEEE","15 Dec 2025","13-14 Nov. 2025","13-14 Nov. 2025","IEEE","IEEE Conferences"
