"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Levine J.; West M.; Silva M.","Levine, Jacob (57222059486); West, Matt (36867775200); Silva, Mariana (56289851800)","57222059486; 36867775200; 56289851800","A Two-Stage LLM Pipeline for Handwritten Mathematics","2026","SIGCSE TS 2026 - Proceedings of the 57th ACM Technical Symposium on Computer Science Education V.2","","","","1413","1414","0","10.1145/3770761.3777208","https://www.scopus.com/pages/publications/105033982642?origin=resultslist","While question-asking platforms have provided a wide array of pedagogical benefits and have decreased grader workload in university classes, they are limited in what types of inputs are accepted. Recent work has explored using Large Language Models to expand what can be automatically graded. In this study, we examine their use for grading handwritten mathematics questions via rubrics. Although much work remains, our preliminary results suggest that using separate prompts to first extract text and then evaluate rubric items enables LLMs to distinguish fully correct solutions from those requiring further review, thereby reducing grader workload. © 2026 Copyright held by the owner/author(s).","","Human engineering; Teaching; Correct solution; Language model; Question-asking; Question answering","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105033982642"
"Yamtinah S.; Wiyarsi A.; Widarti H.R.; Shidiq A.S.; Ramadhani D.G.","Yamtinah, Sri (57195469990); Wiyarsi, Antuni (57194899324); Widarti, Hayuni Retno (57193870211); Shidiq, Ari Syahidul (57195477468); Ramadhani, Dimas Gilang (57205021109)","57195469990; 57194899324; 57193870211; 57195477468; 57205021109","Fine-tuning AI models for enhanced consistency and precision in chemistry educational assessments","2025","Computers and Education: Artificial Intelligence","8","","100399","","","4","10.1016/j.caeai.2025.100399","https://www.scopus.com/pages/publications/105000421305?origin=resultslist","Integrating artificial intelligence (AI) into educational assessments represents a paradigm shift, especially in STEM subjects such as chemistry, which require complex problem-solving and written feedback. This study focuses on the effects of fine-tuning on each of the four AI models—Gemini 1.5, Gemini 1.0, BERT, and XLNet—and their performance on chemistry tasks. The models were implemented using three evaluation methods: Seq2Seq for Sodium Reaction Grading, a Regression Task for Overall Grading, and Attention-Based Grading for Key Steps Grading. The fine-tuning process significantly improved the models' accuracy, precision, and stability. Gemini 1.5 outperformed the other models across all three metrics, with accuracy increasing from 80 % to 89.5 % and TPR from 0.73 to 0.93, whereas Gemini 1.0 achieved TPR gains from 0.69 to 0.89. BERT and XLNet, which had substantially lower baselines, also showed significant improvements, particularly in identifying fundamental steps in the evaluation. These advances highlight the critical role of fine-tuning in refining AI model output to align with expert grading standards, ensuring accuracy and reliability in assessment. The results confirm that fine-tuning is essential in preparing AI models for teaching applications, particularly for complex tasks such as chemistry evaluation, thus enabling scalable solutions. The findings of this study provide further justification for the wider adoption of fine-tuned AI models to improve the reliability, scalability, and effectiveness of grading systems in STEM education. © 2025","AI-Assisted grading systems; Chemistry task evaluation; Educational assessments in STEM; Fine-tuning AI models; Model accuracy and reliability","Artificial intelligence-assisted grading system; Chemistry task evaluation; Educational assessment; Educational assessment in STEM; Fine tuning; Fine-tuning artificial intelligence model; Grading system; Intelligence models; Model reliability; Modeling accuracy","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105000421305"
"Rytilahti J.; Kaila E.; Ingman V.","Rytilahti, Juuso (60216306700); Kaila, Erkki (24824698400); Ingman, Valtteri (60653040300)","60216306700; 24824698400; 60653040300","Large Language Model Performance in Automatic Assessment on an Introductory Programming Course","2025","CEUR Workshop Proceedings","4181","","","","","0","","https://www.scopus.com/pages/publications/105040214795?origin=resultslist","Large language models (LLMs) are a potential solution for solving the significant assessment load in big courses with numerous assignments. However, the quality of the automated assessment may not match the evaluation by teachers or other experts. In this paper, we examine the automated assessment of programming-related tasks in a large-scale introductory programming course. The study is structured into two parts: first, we examine how reliably LLMs can assess the tasks compared to course teachers when provided the same rubric. Second, we try to find out if a simple autonomous agent pipeline, mimicking a review board, can improve the assessment outcome. The study was conducted on a university-level introductory Python course with more than 500 students. We chose a total of four programming-related assignments from the four final weeks of the course. First, we provided the selected LLM models with the student answers accompanied by an evaluation rubric and a simple prompt and recorded the resulting scores and feedback comments. Second, we built a pipeline of autonomous agents with different roles of a review board and used the student submissions as input for the pipeline, again recording the scores and comments. In the article, we discuss the feasibility and the performance of the given approaches. We also provide a detailed analysis of the comparison between the results of the two approaches and the teacher-assessed results, and discuss the differences in the results and the likely reasons for them. Finally, we outline the potential for future work. © 2025 Copyright for this paper by its authors.","artificial intelligence; automatic assessment; autonomous agents; introductory programming; large language models","Automatic programming; Automation; Curricula; Education computing; Learning systems; Students; Teaching; Automated assessment; Automatic assessment; Introductory programming; Introductory programming course; Language model; Large language model; Large-scales; Modeling performance; Simple++; Teachers'; Artificial intelligence; Autonomous agents","Conference paper","Final","","Scopus","2-s2.0-105040214795"
"Rimal Y.N.; Sharma N.; Alsadoon A.; Abbas S.K.","Rimal, Yagya Nath (57210958756); Sharma, Navneet (57203761164); Alsadoon, Abeer (59251519700); Abbas, Sayyed Khawar (57214485741)","57210958756; 57203761164; 59251519700; 57214485741","A comparative analysis of ensemble autoML machine learning prediction accuracy of STEM student grade prediction: a multi-class classification prospective","2025","Multimedia Tools and Applications","84","31","","38343","38369","1","10.1007/s11042-024-20554-8","https://www.scopus.com/pages/publications/86000328045?origin=resultslist","Statisticians in the early stages in research aiming to predict the relationship between dependent and independent variables for better classification. This association may exhibit either a negative or positive correlation to target features, albeit with varying degrees of reliability. This paper tries to fulfill the research gap between the selection of appropriate Automl model for multiclass student grade classification for the predication bachelor degree grade. Consequently, this study endeavors to assess the predictive accuracy of an ensemble AutoML (Automated Machine Learning) model for science, technology, engineering, and management students letter grading. This assessment is based on their subject grades from high school through to internal evaluation of bachelor's degree, to predict bachelor's degree (final) outcomes when the target variables are in multiclass letter grading in a modern system. The ensemble AutoML approach is employed to forecast upcoming grades. Nine out of 78 recommended Automl models undergo fine-tuning and cross-validation for performance metrics, evaluating the best-optimized hyperparameters and assessing their performance after best-optimized hyperparameters. The study analyzed the performance of various models in classifying STEM students, focusing on their accuracy and prediction error rates and miss classification between train and predicated values. The GBM_4_AutoML_1 model scored the highest at 0.28 (28%), followed by StackedEnsemble_BestOfFamily_5 at 0.31 (31%), DRF at 0.28 (28%), XRT at 0.30 (30%), DeepLearning_grid at 0.56 (56%), and GLM at 0.35 (35%). Furthermore, the confusion matrices when the optimized model of the GBM scored 100% matched the true and predicated student grades. The history scoring of each model tuned recommended hyperparameters to achieve the best model. The feature importance of dependent and independent features was analyzed comprehensively to true and predicated and internal multiclass grading classification of STEM student and contrasted to provide a detailed explanation of their respective performance. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Deep learning; Distributed random forest; Extremely randomized trees; Gradient linear models; Mean squared error; Root mean squared error; School leaving certificate; Stacked ensembled ALL gradient boosting","Adaptive boosting; Adversarial machine learning; Contrastive Learning; Decision trees; Deep learning; Mean square error; Prediction models; Random errors; STEM (science, technology, engineering and mathematics); Deep learning; Distributed random forest; Extremely randomized tree; Gradient boosting; Gradient linear model; Linear modeling; Mean squared error; Random forests; Randomized trees; Root mean squared errors; School leaving certificate; Stacked ensembled ALL gradient boosting; Students","Article","Final","","Scopus","2-s2.0-86000328045"
"Petrovic A.; Jaksic D.","Petrovic, Ana (60147720700); Jaksic, Danijela (57207793135)","60147720700; 57207793135","Towards Smart and Socially Integrated Learning: A Systematic Review of LMS, Social Media and Artificial Intelligence Synergies","2026","Electronic Journal of e-Learning","24","1","","75","92","0","10.34190/ejel.24.1.4417","https://www.scopus.com/pages/publications/105028178638?origin=resultslist","This systematic literature review investigates the synergistic role of Learning Management Systems (LMS), social media (SM) and artificial intelligence (AI) in enhancing student engagement, satisfaction, and academic success within smart online and blended learning environments. LMS platforms are highlighted as the backbone of digital pedagogy, offering increasingly personalized, interactive, and adaptive experiences. The paper examines 34 peer-reviewed articles sourced from Scopus and Web of Science that address the connection between LMS and SM in higher education. In addition, a separate search query was conducted for research question 3, resulting in 11 studies that focus specifically on the intersection of AI, LMS, and SM. Findings indicate that LMS tools such as discussion forums, automated assessment, learning analytics, and interactive content modules consistently support motivation, timely feedback, and improved academic outcomes. The integration of SM enhances these outcomes by introducing familiar, interactive and collaborative dynamics that foster peer engagement and community-building. Case studies-including platforms like Moodle-VKontakte, KnowMore, and my.eskwela-show how features like newsfeeds, chatbots, and analytics can transform static learning portals into autonomous learning ecosystems. Looking ahead, the review also identifies significant potential for emerging technologies-particularly AI-to elevate the effectiveness of LMS and SM integrations. Future learning environments may incorporate AI-driven personalization, predictive analytics for early intervention, and chatbot assistants that provide academic guidance or direct students to well-being resources in an empathetic, non-diagnostic manner, influencing their engagement and overall satisfaction with learning. Immersive virtual spaces such as metaverse-based classrooms also offer new avenues for simulation-based learning and collaborative engagement. Together, these developments signal a shift toward digital ecosystems that are adaptive, community-oriented, emotionally supportive, and grounded in evidence-based design principles. Overall, this review contributes a consolidated understanding of how LMS and SM can jointly advance the quality of digital education, supported by emerging technologies such as AI. By outlining both current practices and future opportunities, it offers a clear foundation for the development of next-generation learning systems that are more engaging, equitable, and responsive to the diverse needs of today's learners. © The Authors.","Academic success; Artificial intelligence; e-Learning; Learning management systems; Social media; Student engagement; Student satisfaction","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028178638"
"Thakran D.; Toppo R.M.; Sharma S.","Thakran, Disha (60554160200); Toppo, Ronak Markus (60554192400); Sharma, Sachin (57191275016)","60554160200; 60554192400; 57191275016","AI Tutors and Quantum-Classroom Assistants: A New Era of Teaching","2026","Quantum Learning: Bridging Artificial Intelligence, Quantum Computing, and Data Science in Education","","","","131","140","0","10.1201/9781003637400-13","https://www.scopus.com/pages/publications/105034601623?origin=resultslist","The merging of artificial intelligence (AI) and quantum computing is bringing significant changes to education through the introduction of AI tutors and quantum classroom assistants. This chapter examines how these smart systems are changing the way teaching and learning happen by providing personalized, responsive, and scalable support for students and teachers. AI tutors, using machine learning algorithms, natural language processing, and adaptive learning frameworks, can evaluate individual student needs, customize instructional content in real time, and give immediate feedback. This approach can mimic many aspects of human tutoring on a large scale. Meanwhile, quantum classroom assistants explore the potential of quantum computing to model complex learning behaviors, simulate knowledge paths, and handle large data analyses with great speed and accuracy. This chapter gives an overview of how AI and quantum technologies are being integrated into classrooms, looking into their possible uses in personalized instruction, automated grading, behavioral analytics, student engagement, curriculum design, and ethical mentoring. © 2026 selection and editorial matter, Pawan Whig, Pavika Sharma, Dr. Ahmad A. Elngar, and Nuno Silva; individual chapters, the contributors.","","Computer aided instruction; Curricula; Education computing; Engineering education; Learning algorithms; Learning systems; Machine learning; Natural language processing systems; Quantum computers; Quantum theory; Students; Teaching; Adaptive learning; Language processing; Learning frameworks; Machine learning algorithms; Natural languages; Quantum Computing; Real- time; Smart System; Teachers'; Teaching and learning; Grading","Book chapter","Final","","Scopus","2-s2.0-105034601623"
"Muñoz-Collazos C.; González-Serrano C.","Muñoz-Collazos, Catalina (60236449000); González-Serrano, Carolina (55913175700)","60236449000; 55913175700","Machine Learning Approaches for Evaluating STEM Education Projects Within Artificial Intelligence in Education: A Systematic Review of Frameworks and Rubrics","2025","Applied Sciences (Switzerland)","15","23","12812","","","3","10.3390/app152312812","https://www.scopus.com/pages/publications/105024668680?origin=resultslist","Featured Application: The findings provide evidence for integrating machine learning into AI-driven educational assessment models grounded in STEM frameworks and evaluation rubrics. Objectively evaluating STEM education projects is essential for ensuring fairness, consistency, and evidence-based instructional decisions. Recent interest in data-informed approaches highlights the use of standardized frameworks, rubric-based assessment, and computational techniques to support more transparent evaluation practices. This systematic review examines how machine learning (ML) techniques—within the broader field of Artificial Intelligence in Education (AIED)—contribute to the evaluation of STEM projects. Following Kitchenham’s guidelines and PRISMA 2020, searches were conducted across Scopus, Web of Science, ScienceDirect, and IEEE Xplore, resulting in 39 studies published between 2020 and 2025. The findings show that current STEM frameworks emphasize disciplinary integration, inquiry, creativity, and collaboration, while rubrics operationalize these principles through measurable criteria. ML techniques have been applied to classification, prediction, and multidimensional analysis; however, these computational approaches remain largely independent from established frameworks and rubric structures. Existing ML models demonstrate feasibility for modeling evaluative indicators but do not yet integrate pedagogical constructs within automated assessment pipelines. By synthesizing evidence across frameworks, rubrics, and ML techniques, this review clarifies the methodological landscape and identifies opportunities to advance scalable, transparent, and pedagogically aligned evaluation practices. The results provide a conceptual foundation for future work aimed at developing integrative and trustworthy ML-supported evaluation systems in STEM education. © 2025 by the authors.","artificial intelligence in education; automated assessment; educational frameworks; evaluation rubrics; machine learning; project evaluation; STEM education; systematic review","Learning algorithms; Learning systems; Machine learning; STEM (science, technology, engineering and mathematics); Teaching; Artificial intelligence in education; Automated assessment; Educational framework; Evaluation rubrics; Machine learning approaches; Machine learning techniques; Machine-learning; Project evaluation; STEM education; Systematic Review; Project management","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024668680"
"Hur W.; Ji B.","Hur, Wonjin (60161350700); Ji, Bongjun (57146518200)","60161350700; 57146518200","A Hybrid System for Automated Assessment of Korean L2 Writing: Integrating Linguistic Features with LLM","2025","Systems","13","10","851","","","1","10.3390/systems13100851","https://www.scopus.com/pages/publications/105020166042?origin=resultslist","The global expansion of Korean language education has created an urgent need for scalable, objective, and consistent methods for assessing the writing skills of non-native (L2) learners. Traditional manual grading is resource-intensive and prone to subjectivity, while existing Automated Essay Scoring (AES) systems often struggle with the linguistic nuances of Korean and the specific error patterns of L2 writers. This paper introduces a novel hybrid AES system designed specifically for Korean L2 writing. The system integrates two complementary feature sets: (1) a comprehensive suite of conventional linguistic features capturing lexical diversity, syntactic complexity, and readability to assess writing form and (2) a novel semantic relevance feature that evaluates writing content. This semantic feature is derived by calculating the cosine similarity between a student’s essay and an ideal, high-proficiency reference answer generated by a Large Language Model (LLM). Various machine learning models are trained on the Korean Language Learner Corpus from the National Institute of the Korean Language to predict a holistic score on the 6-level Test of Proficiency in Korean (TOPIK) scale. The proposed hybrid system demonstrates superior performance compared to baseline models that rely on either linguistic or semantic features alone. The integration of the LLM-based semantic feature provides a significant improvement in scoring accuracy, more closely aligning the automated assessment with human expert judgments. By systematically combining measures of linguistic form and semantic content, this hybrid approach provides a more holistic and accurate assessment of Korean L2 writing proficiency. The system represents a practical and effective tool for supporting large-scale language education and assessment, aligning with the need for advanced AI-driven educational technology systems. © 2025 by the authors.","automated essay scoring (AES); educational technology systems; Korean language education; large language models (LLM); natural language processing (NLP); second language acquisition; semantic similarity","Computational linguistics; Education computing; Educational technology; Engineering education; Grading; Hybrid systems; Learning algorithms; Learning systems; Machine learning; Natural language processing systems; Semantics; Students; Syntactics; Automated essay scoring; Educational technology systems; Korean language; Korean language education; Language education; Language model; Language processing; Large language model; Natural language processing; Natural languages; Second language acquisition; Semantic similarity; Automation","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105020166042"
"Chen X.; Mei Y.; Li Y.; Yang Y.; Li Q.; Mei R.","Chen, Xuehuan (60581997000); Mei, Yufei (60581883500); Li, Yuhan (60581997100); Yang, Yan (60581997200); Li, Qien (57557724700); Mei, Rui (57207689326)","60581997000; 60581883500; 60581997100; 60581997200; 57557724700; 57207689326","Considerations on the Trustworthiness Evaluation of LLMs for Math Education: Reliability, Robustness, and Explainability","2026","CSAI 2025 - Proceedings of 2025 9th International Conference on Computer Science and Artificial Intelligence","","","","561","568","0","10.1145/3788149.3788243","https://www.scopus.com/pages/publications/105035791023?origin=resultslist","Large language models (LLMs) are increasingly applied to math education, yet their opaque architectures, unstable reasoning behaviors, and sensitivity to linguistic variations raise critical trustworthiness concerns. This paper presents a unified evaluation framework that operationalizes reliability, robustness, and explainability into automated assessment tasks. Using a curated math problem set with perturbation variants and step-level reasoning annotations, the framework measures factual correctness, resistance to surface-level changes, and consistency of intermediate reasoning. Experiments across both commercial and open-source LLMs reveal substantial reliability gaps, notable accuracy degradation under minor rephrasings, and pervasive early-stage reasoning inconsistencies even when final answers are correct. These findings highlight fundamental limitations in current models' reasoning faithfulness and generalization, underscoring the need for improved alignment and robustness strategies together with more faithful, pedagogically sound reasoning processes to support trustworthy educational deployment. © 2025 Copyright held by the owner/author(s).","explainability; large language models; math education; reliability; robustness; trustworthiness","Computational linguistics; Open systems; Robustness (control systems); Automated assessment; Evaluation framework; Explainability; Language model; Large language model; Math education; Reliability robustness; Robustness; Trustworthiness; Trustworthiness evaluations; Reliability","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105035791023"
"Suazo-Galdames I.C.; Chaple-Gil A.M.","Suazo-Galdames, Iván Claudio (59003979800); Chaple-Gil, Alain Manuel (57212272603)","59003979800; 57212272603","AI-Driven Assessment Systems in Higher Education: Effectiveness for Enhancing Critical Thinking and Creativity","2025","Ingenierie des Systemes d'Information","30","6","","1665","1671","2","10.18280/isi.300624","https://www.scopus.com/pages/publications/105012884958?origin=resultslist","Artificial intelligence (AI)-based assessment systems are emerging as innovative tools to evaluate and enhance critical thinking and creativity in higher education. By leveraging deep learning algorithms, generative language models, and automated scoring techniques, these systems offer scalable, adaptive, and personalized feedback mechanisms aligned with 21st-century cognitive skill development. Despite increasing implementation, empirical evidence regarding their effectiveness remains fragmented. This systematic review synthesized the findings of original peer-reviewed studies assessing the impact of AI-driven evaluation tools on students’ higher-order thinking skills. Following PRISMA 2020 guidelines, comprehensive searches were conducted in PubMed, Scopus, and Web of Science. Inclusion criteria focused on university-level interventions evaluating critical thinking and/or creativity using AI-based assessment tools. Of 234 records identified, only three studies met all eligibility criteria for final inclusion. Data were extracted using standardized forms, and risk of bias was assessed with CASP checklists. The included studies applied diverse AI systems: a BERT-based short answer grading tool, a deep-learning-powered creativity assessment platform, and a GPT-3.5-based mock interview rubric. All reported strong correlations between AI-generated scores and expert human evaluations. Outcomes indicated that AI-based assessments reliably measured cognitive indicators such as inference, originality, communication clarity, and divergent thinking. However, ethical considerations, data transparency, and researcher-participant dynamics were insufficiently addressed across studies. AI-based assessment systems consistently demonstrated effectiveness in enhancing critical thinking and creativity among university students. This systematic review identified strong correlations between AI-generated evaluations and traditional human assessments, validating their reliability across cognitive domains such as inference, originality, and clarity. Despite ethical and methodological gaps in existing studies, the evidence supported AI’s potential as a valuable complement to human judgment in higher education. These findings directly address the research question and confirm that AI-based assessment tools, when implemented responsibly, can contribute meaningfully to the development of higher-order cognitive skills. Copyright: ©2025 The authors.","AI-based assessment; automated scoring; automated scoring; creativity; critical thinking; higher-order cognitive skills; machine learning evaluation","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012884958"
"Bernik A.; Radošević D.; Čep A.","Bernik, Andrija (57133138900); Radošević, Danijel (24067611800); Čep, Andrej (58516401500)","57133138900; 24067611800; 58516401500","A Comparative Study of Large Language Models in Programming Education: Accuracy, Efficiency, and Feedback in Student Assignment Grading","2025","Applied Sciences (Switzerland)","15","18","10055","","","2","10.3390/app151810055","https://www.scopus.com/pages/publications/105017230877?origin=resultslist","Programming education traditionally requires extensive manual assessment of student assignments, which is both time-consuming and resource-intensive for instructors. Recent advances in large language models (LLMs) open opportunities for automating this process and providing timely feedback. This paper investigates the application of artificial intelligence (AI) tools for preliminary assessment of undergraduate programming assignments. A multi-phase experimental study was conducted across three computer science courses: Introduction to Programming, Programming 2, and Advanced Programming Concepts. A total of 315 Python assignments were collected from the Moodle learning management system, with 100 randomly selected submissions analyzed in detail. AI evaluation was performed using ChatGPT-4 (GPT-4-turbo), Claude 3, and Gemini 1.5 Pro models, employing structured prompts aligned with a predefined rubric that assessed functionality, code structure, documentation, and efficiency. Quantitative results demonstrate high correlation between AI-generated scores and instructor evaluations, with ChatGPT-4 achieving the highest consistency (Pearson coefficient 0.91) and the lowest average absolute deviation (0.68 points). Qualitative analysis highlights AI’s ability to provide structured, actionable feedback, though variability across models was observed. The study identifies benefits such as faster evaluation and enhanced feedback quality, alongside challenges including model limitations, potential biases, and the need for human oversight. Recommendations emphasize hybrid evaluation approaches combining AI automation with instructor supervision, ethical guidelines, and integration of AI tools into learning management systems. The findings indicate that AI-assisted grading can improve efficiency and pedagogical outcomes while maintaining academic integrity. © 2025 by the authors.","AI-assisted grading; automated feedback; ChatGPT; educational technology; large language models; programming education","Artificial intelligence; Automation; Computer programming languages; Computer systems programming; Curricula; Education computing; Educational technology; Engineering education; Feedback; Grading; Learning systems; Quality control; Students; Teaching; Artificial intelligence tools; Artificial intelligence-assisted grading; Automated feedback; ChatGPT; Comparatives studies; Language model; Large language model; Learning management system; Programming education; Student assignments; Efficiency","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105017230877"
"Zhang R.; Zhang Y.; Zhao Y.; Jia B.; Lian W.","Zhang, Runze (59915398700); Zhang, Yang (58498015700); Zhao, Yating (58498015600); Jia, Bin (57219710703); Lian, Wenjuan (56261524000)","59915398700; 58498015700; 58498015600; 57219710703; 56261524000","An automated essay scoring approach based on expert models and deep learning","2026","International Journal of Machine Learning and Cybernetics","17","3","110","","","0","10.1007/s13042-025-02972-8","https://www.scopus.com/pages/publications/105030208805?origin=resultslist","In recent years, academic competitions at various levels and across numerous fields have emerged rapidly, with student participation continually increasing. As the number of participating teams grows, the workload for reviewing papers has increased sharply, resulting in greater demands on human resources. This has created an objective need for initial machine scoring followed by secondary human evaluation. Automated Essay Scoring (AES) systems can significantly reduce the workload and improve the fairness of paper evaluations. Consequently, research that focuses on improving AES performance has increased substantially. However, current AES systems either heavily depend on expert-defined rules or lack interpretability. Ensuring flexibility and transparency in scoring standards remains a challenge in the AES field. In this study, we explore an automated scoring method that combines expert models with deep learning and propose an essay scoring framework, EMBR-AES. This framework extracts shallow features based on universally applicable expert models, captures deep semantic features using the Albert model, and then uses a neural network to identify latent patterns and structures associated with scoring. We conducted model experiments based on a small competition dataset. Results indicate that this method demonstrates good adaptability across different datasets and better reflects the true scoring standards. In terms of efficiency, EMBR-AES significantly reduces the scoring time, with the review time per paper limited to 25 s, which is sufficient for most competitions. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2026.","Automated essay scoring; Machine learning; Natural language processing; Unsupervised learning","Automation; Deep neural networks; Learning algorithms; Learning systems; Personnel; Semantics; Unsupervised learning; Automated essay scoring; Expert modeling; Human evaluation; Language processing; Machine-learning; Natural language processing; Natural languages; Participating teams; Scoring systems; Student participation; Natural language processing systems","Article","Final","","Scopus","2-s2.0-105030208805"
"Morris W.; Crossley S.; Holmes L.; Ou C.; Dascalu M.; McNamara D.","Morris, Wesley (58125917600); Crossley, Scott (15134987600); Holmes, Langdon (57939246200); Ou, Chaohua (57189380264); Dascalu, Mihai (24831962300); McNamara, Danielle (7202710483)","58125917600; 15134987600; 57939246200; 57189380264; 24831962300; 7202710483","Formative Feedback on Student-Authored Summaries in Intelligent Textbooks Using Large Language Models","2025","International Journal of Artificial Intelligence in Education","35","3","","1022","1043","16","10.1007/s40593-024-00395-0","https://www.scopus.com/pages/publications/85188922596?origin=resultslist","As intelligent textbooks become more ubiquitous in classrooms and educational settings, the need to make them more interactive arises. An alternative is to ask students to generate knowledge in response to textbook content and provide feedback about the produced knowledge. This study develops Natural Language Processing models to automatically provide feedback to students about the quality of summaries written at the end of intelligent textbook sections. The study builds on the work of Botarleanu et al. (2022), who used a Longformer Large Language Model (LLM) to develop a summary grading model. Their model explained around 55% of holistic summary score variance as assigned by human raters. This study uses a principal component analysis to distill summary scores from an analytic rubric into two principal components – content and wording. This study uses two encoder-only classification large language models finetuned from Longformer on the summaries and the source texts using these principal components explained 82% and 70% of the score variance for content and wording, respectively. On a dataset of summaries collected on the crowd-sourcing site Prolific, the content model was shown to be robust although the accuracy of the wording model was reduced compared to the training set. The developed models are freely available on HuggingFace and will allow formative feedback to users of intelligent textbooks to assess reading comprehension through summarization in real time. The models can also be used for other summarization applications in learning systems. © The Author(s) 2024.","Automated summary scoring; Intelligent textbooks; Large language models; Transformers","Computational linguistics; Grading; Learning systems; Natural language processing systems; Principal component analysis; Students; Automated summaries; Automated summary scoring; Classroom settings; Educational settings; Formative feedbacks; Intelligent textbook; Language model; Large language model; Principal Components; Transformer; Textbooks","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188922596"
"Mzwri K.; Turcsányi-Szabo M.","Mzwri, Kovan (58514330200); Turcsányi-Szabo, Márta (15019982800)","58514330200; 15019982800","The Impact of Prompt Engineering and a Generative AI-Driven Tool on Autonomous Learning: A Case Study","2025","Education Sciences","15","2","199","","","38","10.3390/educsci15020199","https://www.scopus.com/pages/publications/85218893519?origin=resultslist","This study evaluates “I Learn with Prompt Engineering”, a self-paced, self-regulated elective course designed to equip university students with skills in prompt engineering to effectively utilize large language models (LLMs), foster self-directed learning, and enhance academic English proficiency through generative AI applications. By integrating prompt engineering concepts with generative AI tools, the course supports autonomous learning and addresses critical skill gaps in language proficiency and market-ready capabilities. The study also examines EnSmart, an AI-driven tool powered by GPT-4 and integrated into Canvas LMS, which automates academic test content generation and grading and delivers real-time, human-like feedback. Performance evaluation, structured questionnaires, and surveys were used to evaluate the course’s impact on prompting skills, academic English proficiency, and overall learning experiences. Results demonstrated significant improvements in prompt engineering skills, with accessible patterns like “Persona” proving highly effective, while advanced patterns such as “Flipped Interaction” posed challenges. Gains in academic English were most notable among students with lower initial proficiency, though engagement and practice time varied. Students valued EnSmart’s intuitive integration and grading accuracy but identified limitations in question diversity and adaptability. The high final success rate demonstrated that proper course design (taking into consideration Panadero’s four dimensions of self-regulated learning) can facilitate successful autonomous learning. The findings highlight generative AI’s potential to enhance autonomous learning and task automation, emphasizing the necessity of human oversight for ethical and effective implementation in education. © 2025 by the authors.","academic English proficiency; AI-driven assessment; AI-driven feedback; autonomous learning; educational task automation; educational technology; generative AI Canvas LMS integration; generative AI-driven educational tools; higher education; prompt engineering","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85218893519"
